category,wayback_timestamp,original_url,wayback_download_url,suggested_filename,notes,local_path,status,bytes,sha256,error
community,20150826010427,http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/wc_parade-3.thumbnail.jpg,https://web.archive.org/web/20150826010427id_/http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/wc_parade-3.thumbnail.jpg,wc_parade-3.thumbnail.jpg,West Carleton parade,recovered_images/community/wc_parade-3.thumbnail.jpg,downloaded,3697,616f2d53c303cc192d18af9311a37c01c6589dfd4220aeaea524b333c9c88946,
community,20150826005813,http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/wc_parade-4.thumbnail.jpg,https://web.archive.org/web/20150826005813id_/http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/wc_parade-4.thumbnail.jpg,wc_parade-4.thumbnail.jpg,West Carleton parade,recovered_images/community/wc_parade-4.thumbnail.jpg,downloaded,2826,e3921e845285d3eacbf4ff59a00220000e872d4285a845d2b002c517ebd4542b,
community,20150826005507,http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/wc_parade-5.thumbnail.jpg,https://web.archive.org/web/20150826005507id_/http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/wc_parade-5.thumbnail.jpg,wc_parade-5.thumbnail.jpg,West Carleton parade,recovered_images/community/wc_parade-5.thumbnail.jpg,downloaded,3410,e8d7b218b58737c04b70b7aa51cd098eca528c661d5d7ed81b93cdb3894a450c,
community,20150826010010,http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/wc_parade-6.thumbnail.jpg,https://web.archive.org/web/20150826010010id_/http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/wc_parade-6.thumbnail.jpg,wc_parade-6.thumbnail.jpg,West Carleton parade,recovered_images/community/wc_parade-6.thumbnail.jpg,downloaded,2922,700073490d9866bf077d7fe7d146a1fbb676cf82c847c5dffe9af9b4095b2c1a,
people,20110201132100,http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/wm_blog_small.jpg,https://web.archive.org/web/20110201132100id_/http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/wm_blog_small.jpg,wm_blog_small.jpg,Legacy Worshipful Master's image,recovered_images/people/wm_blog_small.jpg,downloaded,15080,12ad01b7b37d77ef046700a504e93e8e49b647d599a3a22a704c3c4b92cea4a5,
gallery_cover,20251009174231,https://carletonlodge465.com/index.php/photos/img?js=0&format=raw&w=600&h=400&id=15:2016,https://web.archive.org/web/20251009174231id_/https://carletonlodge465.com/index.php/photos/img?js=0&format=raw&w=600&h=400&id=15:2016,gallery-cover-2016.jpg,2016 gallery cover,recovered_images/gallery_cover/gallery-cover-2016.jpg,downloaded,38494,01c9f670457171dcbc67fa926d3246252d5e43f8006426bc11090a6af29fb4f7,
gallery_cover,20251009174256,https://carletonlodge465.com/index.php/photos/img?js=0&format=raw&w=600&h=400&id=12:2017,https://web.archive.org/web/20251009174256id_/https://carletonlodge465.com/index.php/photos/img?js=0&format=raw&w=600&h=400&id=12:2017,gallery-cover-2017.jpg,2017 gallery cover,recovered_images/gallery_cover/gallery-cover-2017.jpg,downloaded,37737,915393a6c49c65074a66491bda6a00c36e877a4f03e493c2d9316c6db30a8673,
gallery_cover,20251009174221,https://carletonlodge465.com/index.php/photos/img?js=0&format=raw&w=600&h=400&id=1:2018,https://web.archive.org/web/20251009174221id_/https://carletonlodge465.com/index.php/photos/img?js=0&format=raw&w=600&h=400&id=1:2018,gallery-cover-2018.jpg,2018 gallery cover,recovered_images/gallery_cover/gallery-cover-2018.jpg,downloaded,24998,41cdf591a479074c5b63d6407352dfa1a2ea08436efa0d78eca72c5b8a495275,
gallery_cover,20251010171916,https://carletonlodge465.com/index.php/photos/img?js=0&format=raw&w=600&h=400&id=2:2019,https://web.archive.org/web/20251010171916id_/https://carletonlodge465.com/index.php/photos/img?js=0&format=raw&w=600&h=400&id=2:2019,gallery-cover-2019.jpg,2019 gallery cover,recovered_images/gallery_cover/gallery-cover-2019.jpg,downloaded,67760,1fb1a622858f2ae544e5c54a3af06a4251f732a027d732cb9c6a3809d16a5bc9,
gallery_cover,20251009174358,https://carletonlodge465.com/index.php/photos/img?js=0&format=raw&w=600&h=400&id=4:2021,https://web.archive.org/web/20251009174358id_/https://carletonlodge465.com/index.php/photos/img?js=0&format=raw&w=600&h=400&id=4:2021,gallery-cover-2021.jpg,2021 gallery cover,recovered_images/gallery_cover/gallery-cover-2021.jpg,downloaded,34713,87137b661aea8a8d8e94eb7edd4d02df48170851276a9ab5003fc4d7996426ff,
gallery_cover,20251010062533,https://carletonlodge465.com/index.php/photos/img?js=0&format=raw&w=600&h=400&id=5:2022,https://web.archive.org/web/20251010062533id_/https://carletonlodge465.com/index.php/photos/img?js=0&format=raw&w=600&h=400&id=5:2022,gallery-cover-2022.jpg,2022 gallery cover,recovered_images/gallery_cover/gallery-cover-2022.jpg,downloaded,39903,ea4dd912478a34333ea0d25ca0054a264a1935f2052cca82143e3ac49bdd559a,
gallery_cover,20251009174327,https://carletonlodge465.com/index.php/photos/img?js=0&format=raw&w=600&h=400&id=6:2023,https://web.archive.org/web/20251009174327id_/https://carletonlodge465.com/index.php/photos/img?js=0&format=raw&w=600&h=400&id=6:2023,gallery-cover-2023.jpg,2023 gallery cover,recovered_images/gallery_cover/gallery-cover-2023.jpg,downloaded,64194,21a2e5a148ed1b1811612369a12f37a0ada28f024d5358172605b8c377f54297,
gallery_cover,20251010055254,https://carletonlodge465.com/index.php/photos/img?js=0&format=raw&w=600&h=400&id=8:2025,https://web.archive.org/web/20251010055254id_/https://carletonlodge465.com/index.php/photos/img?js=0&format=raw&w=600&h=400&id=8:2025,gallery-cover-2025.jpg,2025 gallery cover,recovered_images/gallery_cover/gallery-cover-2025.jpg,downloaded,33708,8d2da07cbf52e2e3e3f11003080ccfb33489418afdcbaf8d0d0a435f7af7ff8e,
