category,wayback_timestamp,original_url,wayback_download_url,suggested_filename,notes
event,20150826013922,http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/img_5736.thumbnail.jpg,https://web.archive.org/web/20150826013922id_/http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/img_5736.thumbnail.jpg,img_5736.thumbnail.jpg,Legacy Lodge/event photo thumbnail
installation,20160527165926,http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/installation_1.thumbnail.jpg,https://web.archive.org/web/20160527165926id_/http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/installation_1.thumbnail.jpg,installation_1.thumbnail.jpg,Installation gallery
installation,20160527225442,http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/installation_2.thumbnail.jpg,https://web.archive.org/web/20160527225442id_/http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/installation_2.thumbnail.jpg,installation_2.thumbnail.jpg,Installation gallery
installation,20160527174314,http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/installation_3.thumbnail.jpg,https://web.archive.org/web/20160527174314id_/http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/installation_3.thumbnail.jpg,installation_3.thumbnail.jpg,Installation gallery
installation,20160527180827,http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/installation_4.thumbnail.jpg,https://web.archive.org/web/20160527180827id_/http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/installation_4.thumbnail.jpg,installation_4.thumbnail.jpg,Installation gallery
installation,20160527164235,http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/installation_5.thumbnail.jpg,https://web.archive.org/web/20160527164235id_/http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/installation_5.thumbnail.jpg,installation_5.thumbnail.jpg,Installation gallery
installation,20160527183400,http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/installation_7.thumbnail.jpg,https://web.archive.org/web/20160527183400id_/http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/installation_7.thumbnail.jpg,installation_7.thumbnail.jpg,Installation gallery
installation,20160527132501,http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/installation_8.thumbnail.jpg,https://web.archive.org/web/20160527132501id_/http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/installation_8.thumbnail.jpg,installation_8.thumbnail.jpg,Installation gallery
event,20160527164147,http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/p6260008_0.thumbnail.jpg,https://web.archive.org/web/20160527164147id_/http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/p6260008_0.thumbnail.jpg,p6260008_0.thumbnail.jpg,Legacy event gallery
event,20160527164125,http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/p6260009.thumbnail.jpg,https://web.archive.org/web/20160527164125id_/http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/p6260009.thumbnail.jpg,p6260009.thumbnail.jpg,Legacy event gallery
